time,cpu,mem,diskSeq,diskRand,fork,uplink
1608391746,941.88,39158.95,98.87,24.08,4420.01976562500000000000,68.2
1608391912,940.63,39540.41,127.11,28.07,4406.67173228346456692913,136
1608392059,943.58,39329.66,123.29,26.96,4430.06945312500000000000,85.7
1608392206,944.56,39473.67,116.46,27.74,4455.90820312500000000000,82.9
1608392352,943.17,39426.62,122.30,27.21,4544.78562500000000000000,-1
1608392438,939.33,39377.93,110.11,21.33,4405.55063492063492063492,86.9
1608392584,941.81,39300.99,124.38,20.99,4397.41047244094488188976,125
1608392731,943.58,39257.91,119.98,26.85,4407.55803149606299212598,58.9
1608392878,941.60,39141.75,122.42,28.65,4100.26858407079646017699,93.9
1608393025,946.13,39698.38,124.92,28.68,4418.10585937500000000000,-1
time,cpu,mem,diskSeq,diskRand,fork,uplink
