time,cpu,mem,diskSeq,diskRand,fork,uplink
1608393113,920.88,6165.50,60.54,59.16,3548.58396039603960396039,89.1
1608393262,920.37,6217.49,77.61,56.67,3655.54495238095238095238,-1
1608393342,922.90,6238.80,69.05,55.06,3646.54466666666666666666,109
1608393484,923.96,6146.81,65.04,45.47,3631.17380952380952380952,97.9
1608393626,924.54,6270.13,68.02,53.60,3569.88165048543689320388,54.8
1608393768,923.88,6194.97,74.99,59.09,3638.56447619047619047619,107
1608393910,921.86,6181.86,78.13,68.96,3599.48884615384615384615,-1
1608393991,924.49,6220.66,70.95,63.57,3638.30764150943396226415,90.2
1608394133,924.89,6145.10,80.39,71.10,3674.27896226415094339622,-1
1608394214,922.80,6164.93,67.81,71.20,3659.34626168224299065420,107
time,cpu,mem,diskSeq,diskRand,fork,uplink
